id,title,price,genre,publisher,publication_date
347,Fanny and Alexander (Fanny och Alexander),$7.69,Drama|Fantasy|Mystery,Devshare,15/04/1997
348,United 93,$0.75,Crime|Drama,Jazzy,03/09/2018
349,Orca: The Killer Whale,$0.78,Action|Drama|Horror|Thriller,Cogidoo,20/07/2003
350,Thrive,$7.58,Documentary,Bubblemix,07/06/2007
351,How I Killed My Father (a.k.a. My Father and I) (Comment j'ai tué mon Père),$6.20,Drama,Twitternation,06/05/1994
352,Whiplash,$0.06,Drama,Bubbletube,06/07/2013
353,Bad Asses (Bad Ass 2),$9.81,Action|Drama,Tagfeed,08/12/2019
354,"Big Picture, The",$0.79,Comedy|Drama,Youfeed,02/12/2000
355,Thirty Day Princess,$2.88,Comedy|Romance,Zoomdog,19/02/1995
356,World on a Wire (Welt am Draht),$9.27,Crime|Sci-Fi,Riffwire,11/07/2010
357,Metallica: Some Kind of Monster,$1.55,Documentary,Yata,26/09/1995
358,"German Doctor, The (Wakolda)",$9.91,Drama|Thriller,Trudoo,24/02/2002
359,Baghban,$7.46,Drama|Romance,Eazzy,20/10/2008
360,Frankenstein,$7.29,Drama|Horror|Sci-Fi,Meedoo,12/06/2017
361,So It Goes (Korsoteoria),$0.98,Drama,Skyba,30/08/2013
362,"Ward, The",$0.87,Horror|Thriller,Realcube,14/06/1998
363,About Face: Supermodels Then and Now,$6.84,Comedy|Documentary,Abatz,02/10/1991
364,Demon Seed,$4.79,Horror|Sci-Fi|Thriller,Meevee,23/12/2020
365,Song of the Little Road (Pather Panchali),$2.24,Drama,Fivebridge,21/02/1992
366,"I Love You, I Love You Not",$4.30,Drama|Romance,Avaveo,05/10/1991
367,"Monkey's Paw, The",$2.52,Horror|Thriller,Aivee,26/12/1997
368,King Lear,$1.42,Comedy|Drama|Sci-Fi,Eayo,25/05/2006
369,I Smile Back,$0.03,Drama,Eabox,22/01/1994
370,"Endless Summer 2, The",$7.17,Adventure|Documentary,Skipstorm,17/12/2006
371,Après lui,$8.22,Drama,Jaxspan,04/04/2006
372,Beyond the Mind's Eye,$9.38,Animation|Comedy,Teklist,30/09/2020
373,Hearty Paws,$5.95,Adventure|Drama,Mymm,19/12/2011
374,The Miracle of Our Lady of Fatima,$7.27,Drama,Jaxspan,05/08/1996
375,Tart,$5.81,Crime|Drama|Romance,Gigabox,03/12/2000
376,"Psychomania (Death Wheelers, The)",$4.86,Horror,Photospace,18/06/1992
377,Donnie Brasco,$8.81,Crime|Drama,Quimm,08/10/2018
378,"Nature of Existence, The",$3.66,Documentary,Plajo,04/02/2003
379,Airport,$4.75,Drama,Cogilith,15/03/1993
380,Gnomeo & Juliet,$4.74,Adventure|Animation|Children|Comedy|Fantasy|Romance,Shuffledrive,29/09/1992
381,Patty Hearst,$1.35,(no genres listed),Feedmix,22/07/2016
382,Howling IV: The Original Nightmare,$2.27,Horror,Skiba,30/08/2002
383,Mikey and Nicky,$4.23,Drama,Tagfeed,31/03/1994
384,"Year of Living Dangerously, The",$5.67,Drama|Romance|War,Lajo,07/06/1994
385,"Facing Windows (Finestra di fronte, La)",$9.26,Drama|Romance,Jaxworks,05/01/1996
386,Bright Victory,$9.97,Drama,Kwinu,05/12/1993
387,Beyond the Lights,$9.14,Drama,Mydeo,24/04/2004
388,Horror Express,$0.35,Horror,Babbleset,11/11/1995
389,"Gatekeepers, The",$1.28,Documentary,Nlounge,11/04/2004
390,"Catechism Cataclysm, The",$4.26,Comedy,Trupe,31/05/2014
391,Bound,$1.06,Crime|Drama|Romance|Thriller,Topicshots,07/03/2019
392,Rocket Science,$4.13,Comedy|Drama,Topicblab,11/02/2005
393,Life Is Sweet,$1.32,Comedy|Drama,Bubbletube,04/02/2021
394,"Station, The (Blutgletscher)",$3.65,Horror,Katz,26/08/2021
395,Best Friends,$5.75,Comedy|Drama|Romance,Meezzy,17/06/2013
396,"Nature of the Beast, The",$3.23,Crime|Horror|Mystery|Thriller,Voolith,16/09/1997
397,"Bûche, La",$5.79,Comedy|Drama,Youspan,22/06/2020
398,Wonder Boys,$9.30,Comedy|Drama,Rhyloo,23/03/2018
399,"Haunted Castle, The (Hiroku kaibyô-den)",$5.71,Horror,Podcat,18/10/2004
400,Secuestro Express,$3.42,Action|Drama|Thriller,Quimba,06/07/1995
401,10th & Wolf,$3.12,Crime|Drama|Thriller,Edgeify,04/12/2006
402,"Truman Show, The",$8.78,Comedy|Drama|Sci-Fi,Browseblab,03/03/1993
403,"Cadaver Christmas, A",$3.95,Comedy|Horror,Roombo,07/04/2017
404,Fever,$9.59,Thriller,Rhyzio,27/01/2017
405,Don't Tell Anyone (No se lo digas a nadie),$8.69,Comedy|Drama,Bubblemix,07/01/2006
406,Quod erat demonstrandum,$9.06,Drama,Quaxo,19/12/2016
407,Joan of Paris,$2.24,Drama|Romance|War,Nlounge,27/02/2015
408,Miracles - Mr. Canton and Lady Rose,$6.15,Action|Comedy|Crime|Drama,Myworks,11/06/2000
409,"Run, Man, Run! (Corri uomo corri)",$7.95,Adventure|Comedy|Western,Fatz,01/01/2019
410,Cold Fish (Tsumetai nettaigyo),$9.06,Drama|Thriller,Brightbean,16/02/2014
411,"Grandfather, The (Abuelo, El)",$4.50,Drama,Yacero,01/06/2019
412,Con Air,$0.91,Action|Adventure|Thriller,Linktype,19/12/2004
413,Stand by Me,$3.17,Adventure|Drama,Teklist,15/11/2001
414,"Deal, The",$5.68,Comedy,Bubblemix,23/10/2004
415,Freedomfighters (Libertarias),$8.60,Drama|War,Blogtags,12/08/1992
416,Gerontophilia,$6.96,Comedy|Romance,Dynava,26/04/2014
417,Le créateur ,$7.60,Comedy,Buzzbean,06/08/2018
418,Left Behind: The Movie,$1.77,Action|Adventure|Drama|Thriller,Wikizz,11/11/2003
419,Extreme Days,$8.79,Action|Adventure|Comedy|Drama,Quinu,04/07/2010
420,Zincirbozan,$5.06,Crime|Drama,Trunyx,17/07/2016
421,Ito: A Diary of an Urban Priest (Seitti - kilvoittelijan päiväkirja),$0.34,Documentary,Feedmix,29/06/2006
422,"Survivors, The",$3.28,Comedy,Wordpedia,13/07/1992
423,Bells of Capistrano,$5.11,Western,Fivespan,29/08/2016
424,Crime at Porta Romana,$4.02,Comedy|Crime,Ntag,02/06/2010
425,Comrade X,$3.99,Comedy|Drama,Flashpoint,26/03/2003
426,"Hamburg Syndrome, The (Die Hamburger Krankheit)",$4.75,Adventure|Sci-Fi,Twitterbeat,07/09/2007
427,One Body Too Many,$4.23,Comedy|Horror|Mystery,Teklist,24/01/1999
428,Tom at the Farm (Tom à la ferme),$2.17,Drama,Wikivu,14/09/1991
429,Home Page,$6.31,Documentary,Yodoo,14/01/2002
430,American Crude,$5.91,Comedy|Drama,Cogilith,11/12/2014
431,Passion Fish,$9.62,Drama,Jaxspan,06/03/2007
432,"Illusion Travels by Streetcar (Ilusión viaja en tranvía, La)",$2.59,Adventure|Comedy|Drama,Mydeo,11/04/2015
433,Harry and the Hendersons,$7.36,Children|Comedy,Tavu,10/01/2019
434,Macbeth,$4.60,Drama,Abata,30/10/2017
435,Ski Patrol,$0.05,Action|War,Fatz,25/10/2012
436,American Outlaws,$5.72,Action|Comedy|Western,Tagtune,02/02/1997
437,Dangerous Liaisons,$8.69,Comedy|Crime|Drama|Mystery,Yakidoo,28/11/1991
438,C.H.O.M.P.S.,$5.40,Comedy|Sci-Fi,Shuffletag,13/02/2016
439,Chance,$6.23,Comedy|Drama,Quimba,22/11/2011
440,Fury,$0.61,Action|Drama|War,Skyble,29/08/2004
441,Casting Couch,$3.15,(no genres listed),Quatz,30/10/2004
442,War of the Robots (La guerra dei robot),$5.93,Action|Adventure|Sci-Fi,Babbleset,29/01/1992
443,The Rebel,$2.15,Action|Crime|Drama|Thriller,Photojam,26/05/2021
444,"Slipping-Down Life, A",$0.48,Drama|Romance,Jabbercube,23/07/1993
445,The DUFF,$6.73,Comedy,Yodo,19/11/2006
446,On Dangerous Ground,$7.96,Crime|Drama|Film-Noir,Tanoodle,15/02/2016
447,Tai Chi Hero,$0.50,Action|Comedy|Drama|Fantasy|Sci-Fi|IMAX,Katz,02/05/2013
448,Wild Gals Of The Naked West,$8.85,Comedy|Western,Mybuzz,21/04/1992
449,Lara Croft: Tomb Raider,$8.25,Action|Adventure,Omba,07/04/1995
450,Trailer Park of Terror,$8.04,Horror|Thriller,Photolist,15/06/1993
451,Stray Cat Rock: Sex Hunter (Nora-neko rokku: Sekkusu hanta),$8.61,Crime,Brainlounge,29/02/2012
452,Mothra (Mosura),$8.69,Adventure|Fantasy|Sci-Fi,Voolia,18/03/2015
453,Levottomat 3,$0.09,Romance,Mymm,30/05/1999
454,Track of the Cat,$5.15,Drama|Western,Agimba,22/12/2012
455,Assassins,$1.33,Action|Crime|Thriller,Edgepulse,08/01/2011
456,Miracle at St. Anna,$1.62,Drama|Mystery|War,Riffpath,04/09/2008
457,"Destinées, Les (Destinées sentimentales, Les)",$3.47,Drama|Romance,Flashpoint,27/05/2019
458,Mad Monster Party?,$9.98,Children|Comedy|Horror,Mymm,04/08/1999
459,Wonderful Days (a.k.a. Sky Blue),$2.78,Animation|Sci-Fi,Avavee,26/01/1999
460,"When Time Ran Out... (Day the World Ended, The)",$1.40,Action|Adventure,Innojam,11/08/2014
461,Betty Blue (37°2 le matin),$1.10,Drama|Romance,Youspan,03/05/2011
462,"Apple Dumpling Gang, The",$1.69,Children|Comedy|Western,Twinte,21/03/1999
463,Blinkity Blank,$2.92,Animation,Zoomdog,09/10/1997
464,Body/Cialo,$8.25,Comedy|Drama|Mystery,Thoughtmix,14/08/2018
465,Skeleton Man,$4.76,Action|Horror,Brainbox,04/03/1997
466,Doctor at Large,$1.01,Comedy|Romance,Meemm,02/03/1999
467,Passionada,$10.00,Comedy|Romance,Latz,27/04/2019
468,Faces in the Crowd,$7.64,Crime|Drama|Mystery,Dynazzy,04/06/1993
469,Upstream Color,$3.20,Romance|Sci-Fi|Thriller,Skipfire,10/03/2004
470,"North and South, Book I",$0.53,Drama|Romance|War,Browsebug,17/05/2021
471,Rope,$5.48,Crime|Drama|Thriller,Oyoba,29/12/2012
472,"10th Kingdom, The",$1.31,Adventure|Comedy|Fantasy,Rooxo,17/06/2002
473,Heavy Metal,$7.54,Action|Adventure|Animation|Horror|Sci-Fi,Voonder,30/03/1998
474,Battlefield Earth,$2.80,Action|Sci-Fi,Tekfly,09/12/2008
475,The Man Who Wouldn't Die,$2.13,Crime|Drama|Thriller,Twitterwire,26/03/2005
476,Barbary Coast,$4.12,Adventure|Drama|Romance|Western,Reallinks,01/10/2004
477,Snow (Snijeg),$7.53,Drama,Flashpoint,09/08/1998
478,"Cabin in the Woods, The",$8.55,Comedy|Horror|Sci-Fi|Thriller,Roombo,30/11/2002
479,"Face in the Crowd, A",$8.46,Drama,Fivebridge,10/06/2012
480,Better Off Dead...,$6.52,Comedy|Romance,Blognation,03/12/2011
481,Spring Forward,$5.44,Drama,Oozz,02/01/1998
482,Stratosphere Girl,$0.82,Drama|Mystery,Kimia,19/03/2006
483,Seven Chances,$6.04,Comedy,Meedoo,01/05/1999
484,"Bells of St. Mary's, The",$9.47,Drama,Skalith,25/10/2015
485,Kumail Nanjiani: Beta Male ,$0.07,Comedy|Documentary,Skibox,06/03/1993
486,"Last Movie, The",$4.12,Drama,Youtags,13/11/2004
487,Path to War,$7.73,Drama,Gabtype,17/01/2012
488,"Sword of Doom, The (Dai-bosatsu tôge)",$0.32,Action|Drama,Skimia,01/08/2022
489,Myra Breckinridge,$3.59,Comedy,Meevee,13/08/2021
490,Chu Chin Chow,$5.13,Comedy|Fantasy|Musical,Rooxo,18/01/1998
491,Bluebeard,$0.90,Film-Noir|Horror,Brainlounge,27/12/1998
492,Lonely Are the Brave,$2.40,Drama|Western,Thoughtmix,25/11/2020
493,Anatomy of Hell (Anatomie de l'enfer),$7.16,Drama,Buzzshare,11/04/2018
494,"Leaning Tower, The (Kalteva torni)",$4.73,Comedy,Oyope,12/11/2012
495,I Am Comic,$5.65,Documentary,Quamba,29/01/1991
496,Scourge,$0.03,Horror|Mystery|Sci-Fi,Eire,14/06/2013
497,Tune in Tomorrow...,$0.62,Comedy|Romance,Dynabox,07/02/1991
498,Batman: Gotham Knight,$6.99,Action|Animation|Crime,Feednation,19/12/2020
499,Wilbur Wants to Kill Himself,$7.22,Comedy|Drama|Romance,Zava,12/02/2005
500,"Jacob the Liar (Jakob, der Lügner)",$0.35,Drama,Cogidoo,30/06/1997
501,"Spirit of St. Louis, The",$1.45,Adventure|Drama,Oloo,28/10/2000
502,Are We There Yet?,$1.28,Children|Comedy,Layo,29/06/2007
503,American Winter,$0.80,Documentary|Drama,Mybuzz,22/05/2003
504,"Shot in the Dark, A",$7.25,Comedy|Crime|Mystery,Gabtype,27/06/1992
505,The Boyfriend School,$9.06,Comedy|Romance,Thoughtbridge,02/09/2009
506,Operation Dumbo Drop,$9.15,Action|Adventure|Comedy|War,Mybuzz,18/09/2022
507,Citizen Cohn,$8.81,Drama,Teklist,23/12/2009
508,Big Trouble,$2.52,Comedy|Crime,Myworks,08/08/1998
509,"Three Brothers 2, The (Les trois frères, le retour)",$6.85,Comedy,Vinte,06/07/2021
510,Legendary,$8.24,Drama,Voomm,01/04/2013
511,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo),$9.36,Action|Adventure|Comedy|Thriller,Tagchat,04/01/1995
512,Comin' at Ya!,$8.28,Western,Leexo,29/05/2001
513,Gates of Heaven,$1.30,Documentary,Photobug,08/09/2019
514,Spetters,$1.65,Comedy|Drama,Yabox,03/04/1991
515,Running on Empty,$6.90,Drama,Npath,09/01/2014
516,"Earth Is a Sinful Song, The (Maa on syntinen laulu)",$2.41,Drama,Kanoodle,16/08/2011
517,Sleeping Beauty,$3.96,Adventure|Fantasy,Skaboo,08/03/2002
518,Toronto Stories,$7.67,Drama,Twinder,19/05/2018
519,Triumph of the Will (Triumph des Willens),$9.23,Documentary,Einti,11/07/2004
520,"Sound of Thunder, A",$3.19,Action|Adventure|Drama|Sci-Fi|Thriller,Devshare,09/04/2001
521,The Aggression Scale,$3.71,Action|Crime|Thriller,Vitz,20/11/1994
522,Haunted Castle,$8.02,Animation|Horror|IMAX,Devbug,16/05/2016
523,Unforgotten: Twenty-Five Years After Willowbrook,$2.31,Documentary,Yodoo,12/02/1991
524,Close Encounters of the Third Kind,$4.27,Adventure|Drama|Sci-Fi,Skipstorm,23/05/2021
525,Hellbound: Hellraiser II,$3.19,Horror,Izio,12/01/1996
526,Journey Beyond Three Seas,$9.09,Adventure,Lazz,29/09/1996
527,Donnie Brasco,$2.13,Crime|Drama,Ooba,03/02/2007
528,Tennessee,$3.42,Drama,Fatz,04/01/2012
529,"Time Machine, The",$7.78,Action|Adventure|Sci-Fi,Tazz,21/10/1998
530,Death of a Cyclist (Muerte de un ciclista),$4.95,Drama,Dynabox,09/09/2020
531,Pulgasari,$0.85,Action|Drama|Fantasy,Thoughtblab,19/12/2004
532,"Debt, The",$2.18,Thriller,Gigaclub,22/03/2005
533,Night of the Living Dead,$5.33,Horror|Sci-Fi|Thriller,Feedfish,06/06/2010
534,"Musketeers of Pig Alley, The",$6.95,Crime|Drama,Omba,08/05/2010
535,Our Man Flint,$6.88,Adventure|Comedy|Sci-Fi,Kayveo,06/12/2016
536,"Fifth Cord, The (Giornata nera per l'ariete)",$7.20,Mystery|Thriller,Wordtune,29/09/2012
537,Legal Eagles,$0.77,Comedy|Crime|Romance,Jabberbean,10/06/1995
538,The Dark Valley,$3.90,Western,Topdrive,29/06/2009
539,Knocked Up,$0.70,Comedy|Drama|Romance,Yombu,24/03/2018
540,"Blood, Sweat + Vinyl: DIY in the 21st Century",$9.96,Documentary,Topiclounge,07/03/2010
541,Ward 13,$1.20,Action|Animation|Comedy|Horror,Eidel,18/04/2009
542,"3 Rooms of Melancholia, The (Melancholian 3 huonetta)",$4.46,Documentary,Skyble,12/04/2000
543,"Sea Hawk, The",$8.61,Action|Adventure|Romance,Demimbu,08/09/2007
544,Dead Men Walk,$5.60,Drama|Horror|Mystery,Oyoba,03/10/2020
545,"Chorus, The (Hamsarayan)",$9.34,Drama,Camido,03/06/2009
546,Serrallonga,$8.28,Adventure|Drama,Demivee,14/03/2000
547,"Ringer, The",$2.34,Comedy,Quaxo,08/11/1997
548,Bedtime Story,$9.28,Comedy,Topdrive,13/01/1995
549,Topralli,$3.75,Comedy,Vinte,13/09/2006
550,"Kid from Brooklyn, The",$1.50,Comedy,Skalith,05/02/1995
551,The Stanford Prison Experiment,$5.50,Drama|Thriller,Ailane,03/03/2002
552,Niko & the Way to the Stars (a.k.a. The Flight Before Christmas) (Niko - Lentäjän poika),$1.49,Adventure|Animation|Children|Drama|Fantasy,Tagopia,12/11/2004
553,"Designated Mourner, The",$4.66,Drama,Dabshots,05/11/1994
554,Going Overboard,$8.04,Comedy,Yoveo,07/04/2013
555,Slaves to the Underground,$1.52,Comedy|Drama,Livepath,30/11/2011
556,42,$5.04,Drama,Devbug,22/01/2000
557,"Creeping Flesh, The",$7.65,Horror|Sci-Fi,Plajo,15/07/1998
558,"Sticky Fingers of Time, The",$3.42,Sci-Fi,Voolith,19/03/1994
559,Teenage,$7.62,Documentary,Aimbu,15/12/2013
560,"Black Room, The",$7.15,Crime|Horror|Thriller,Realfire,11/06/1998
561,Through the Olive Trees (Zire darakhatan zeyton),$8.74,Drama,Thoughtbeat,13/12/2016
562,Blue Swallow (Cheong yeon),$2.78,Drama|Romance,Yozio,30/01/2019
563,Industrial Symphony No. 1: The Dream of the Brokenhearted,$4.39,Drama,Tagchat,18/10/2010
564,Brooklyn,$0.92,Comedy|Drama|Romance,Skippad,24/08/2011
565,Diggers,$5.76,Comedy|Drama,Quimm,07/11/2017
566,Letters to Juliet,$6.90,Drama|Romance,Izio,20/08/2008
567,Valerie and Her Week of Wonders (Valerie a týden divu),$1.84,Adventure|Drama|Fantasy,Skidoo,15/01/2004
568,Dragonquest,$9.23,Fantasy,Twinder,23/12/1996
569,Norwegian Ninja,$6.03,Action|Comedy,Browsedrive,29/01/2019
570,Quill,$9.21,Drama,Bluejam,20/04/2013
571,"Public Enemy, The",$0.22,Action|Crime|Drama,Voomm,05/11/2019
572,97 Percent True,$6.87,Documentary,Dablist,22/09/2004
573,Kajaki,$7.49,Adventure|Drama|War,Npath,25/07/2009
574,Pride and Prejudice,$4.37,Drama|Romance,Brainlounge,29/07/1991
575,Strategic Air Command,$2.56,Action|Drama,Feedfire,27/10/2014
576,Merrily We Live,$2.74,Comedy|Romance,Photobean,26/12/1997
577,Stay Alive,$1.52,Horror|Sci-Fi|Thriller,Jetwire,14/06/2004
578,"Blue Bird, The",$8.68,Children|Fantasy,Jaxbean,27/07/2014
579,Salvatore Giuliano,$1.96,Crime|Drama|War,Divavu,15/04/2005
580,Jesse Stone: Sea Change,$5.21,Crime|Drama,Jabbertype,18/04/1998
581,"Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il)",$3.90,Drama,Thoughtbeat,14/08/1995
582,Street People,$6.15,Action|Thriller,Meevee,16/04/2005
583,Tom and Huck,$8.71,Adventure|Children,Oyoyo,11/08/1995
584,Magic Hunter (Büvös vadász),$8.44,Drama,Quatz,03/08/2014
585,Kirikou and the Wild Beast (Kirikou et les bêtes sauvages),$8.53,Adventure|Animation|Children,Dabfeed,07/11/2002
586,Container,$8.33,Drama|Horror,Edgeify,22/02/2006
587,"Leopard Son, The",$8.09,Documentary,Oyonder,05/08/1996
588,Sunrise at Campobello,$9.31,Drama,Rhybox,19/07/1991
589,Swing,$2.88,Comedy|Drama|Musical,Ooba,24/11/2018
590,Real Genius,$7.09,Comedy,Miboo,30/07/2016
591,Brother Rat,$4.14,Comedy,Brainverse,01/11/2008
592,Merlusse,$9.42,Comedy|Drama,Skilith,29/05/2001
593,Tribes,$2.31,Drama,Brainsphere,07/08/2013
594,"Whole Night, A (Toute une nuit)",$2.03,Drama,Jetwire,31/05/1991
595,Don Juan,$8.69,Adventure|Drama|Romance,Myworks,01/02/1997
596,Which Way to the Front?,$4.84,Comedy|War,Geba,04/04/2018
597,Fingers,$7.78,Drama,Oyoba,17/09/1991
598,Ciao Manhattan (Ciao! Manhattan),$2.92,Documentary|Drama|Romance,Flipbug,11/05/2018
599,Chapter Two,$9.89,Comedy|Drama|Romance,Jetwire,22/11/2009
600,Caught,$5.93,Drama|Thriller,Thoughtmix,01/12/1998
601,Clash of the Titans,$0.43,Action|Adventure|Drama|Fantasy,Lazzy,02/08/2020
602,Chinese Coffee,$8.11,Drama,Muxo,15/11/2000
603,"Killer Is Loose, The",$5.85,Crime|Drama|Film-Noir,Voolith,21/01/1997
604,One for the Money,$3.04,Action|Comedy|Crime,Kazu,16/03/2005
605,Charlie Chan on Broadway,$5.10,Comedy|Crime|Mystery|Thriller,Meejo,17/12/2017
606,Black Sea,$1.84,Adventure|Thriller,Twitterworks,21/03/2021
607,Mass Transit,$6.58,Comedy|Drama,Blognation,08/06/1993
608,Rabid,$3.21,Horror|Thriller,Kimia,17/02/2009
609,Onmyoji (Onmyoji: The Yin Yang Master),$4.87,Action|Drama|Fantasy|Horror,Centizu,10/09/1992
610,Murder by Numbers,$4.49,Crime|Thriller,Fivespan,15/03/1993
611,Robinson in Space,$5.52,Documentary|Sci-Fi,Zoovu,22/11/2016
612,The Great Scout & Cathouse Thursday,$9.91,Action|Comedy|Western,Yakijo,14/08/2000
613,"Last Mogul, The",$5.99,Documentary,Oyoyo,29/01/2015
614,Open Season 3,$0.11,Animation|Children|Comedy,Eabox,12/10/2010
615,Mutual Appreciation,$1.26,Comedy|Drama,Topiclounge,04/11/2016
616,War of the Wildcats (In Old Oklahoma),$6.54,Western,Oyondu,30/01/2002
617,"Zero Years, The",$8.52,Drama,Jabbersphere,18/01/1995
618,"Three Musketeers, The",$7.32,Action|Adventure|Comedy,Leexo,21/06/2022
619,José and Pilar (José e Pilar),$9.32,Documentary,Tagtune,13/09/2013
620,The Fourth War,$3.44,Drama|Thriller,Talane,07/11/1996
621,Bukowski: Born into This,$4.66,Documentary,Yoveo,17/01/2017
622,Bandit: Bandit's Silver Angel (Smokey and the Bandit 7) (Bandit: Bandit and the Silver Angel),$6.93,Comedy,Vinte,09/08/2002
623,Switch,$3.33,Comedy|Crime|Fantasy,Realfire,27/09/1998
624,Sorority Row,$9.00,Horror|Thriller,JumpXS,27/08/2009
625,"Crash Reel, The",$6.51,Documentary,Wordify,09/10/2004
626,Into the Mind,$7.83,Documentary,Voolith,22/03/2005
627,Four Ways Out,$0.71,Crime|Drama,Gevee,14/11/1993
628,Way Out West,$1.77,Comedy|Western,Shuffletag,15/02/2007
629,"Ah of Life, The",$7.15,Drama|Romance|Sci-Fi,Livepath,08/03/2012
630,Enigma,$5.71,Drama|Sci-Fi,Lajo,24/05/1992
631,"Dying Swan, The (Umirayushchii lebed)",$2.39,Drama,Thoughtsphere,31/07/2012
632,How Hitler Lost the War,$1.55,Documentary,Zoomlounge,21/07/1995
633,The Woman in Black 2: Angel of Death,$2.82,Drama|Horror|Thriller,Topicshots,05/03/2017
634,Battle of the Bulge,$8.57,Action|Drama|War,Photospace,02/06/1996
635,"Sum of All Fears, The",$7.06,Drama|Thriller,Devpulse,15/05/2014
636,Uwasa No Onna (The Woman in the Rumor) (Her Mother's Profession),$4.87,Drama|Romance,Zazio,26/10/2016
637,Raising Arizona,$6.05,Comedy,Babblestorm,29/06/2014
638,Millions,$9.61,Children|Comedy|Crime|Drama|Fantasy,Photolist,07/12/2002
639,Cirque du Soleil: Varekai,$3.63,Comedy|Fantasy|Musical|Mystery,Dabjam,14/06/1992
640,Ingenious,$6.28,Comedy|Drama|Romance,Realcube,02/06/2015
641,Hunger,$1.03,Horror|Thriller,Wikizz,28/10/1995
642,Knight Without Armor,$4.05,Adventure|Drama|Romance|Thriller,Browsetype,14/12/2014
643,Big Bad Wolves,$2.77,Crime|Thriller,Dabjam,04/08/1994
644,Born Wild,$5.19,Drama,Trudoo,01/08/1991
645,Corpo Celeste,$5.86,Drama,Demizz,28/01/1992
646,Blood Wedding (Bodas de sangre),$0.81,Drama|Musical|Romance,Voonix,25/12/2015
647,Ways to Live Forever,$0.08,Children|Drama,Yamia,28/07/2003
648,Beer for My Horses,$3.80,Action|Comedy,Shuffledrive,18/08/1993
649,Blade Runner,$3.63,Action|Sci-Fi|Thriller,Thoughtbridge,09/11/2006
650,Gay Purr-ee,$5.33,Animation|Children|Musical,Livefish,04/01/1999
651,Wyatt Earp,$6.63,Western,Trilia,04/04/1997
652,Titanic,$2.38,Action|Drama|Romance,Gabspot,08/05/2001
653,Love (Szerelem),$0.17,Drama,Meemm,14/08/2000
654,Equinox,$5.16,Adventure|Horror|Mystery,Topicstorm,21/11/2017
655,Springfield Rifle,$7.34,Action|War|Western,Oyondu,18/06/1995
656,"Chaser, The (Chugyeogja)",$2.97,Crime|Drama|Thriller,Quamba,08/10/1997
657,Creep Van,$0.18,Horror,Babbleset,17/10/2005
658,"Way, Way Back, The",$7.80,Comedy|Drama,Oba,24/10/2015
659,"Red Squirrel, The (Ardilla roja, La)",$3.68,Comedy|Drama|Mystery|Romance,Yakidoo,22/12/2000
660,The Magnificent Trio,$5.49,Action|Drama|Romance,Shuffledrive,05/09/2008
661,Little Witches,$3.24,Horror|Thriller,Shufflebeat,15/05/2003
662,"Heirloom, The (Zhai Ban)",$7.26,Drama|Horror,Leenti,27/08/2015
663,"Purple Rose of Cairo, The",$6.91,Comedy|Drama|Fantasy|Romance,Skinix,18/01/1999
664,Just Friends?,$7.00,Romance,Voonder,05/07/2008
665,McKenna Shoots for the Stars,$9.27,Children|Drama,Camido,09/01/2009
666,"Statue of Liberty, The",$7.44,Documentary,Reallinks,17/08/2022
667,Fake It So Real,$6.33,Documentary,Dynabox,04/05/2012
668,Exit to Hell,$2.20,Action|Horror|Thriller,Ooba,14/03/1996
669,Losin' It,$5.26,Comedy,Flashset,04/07/2008
670,Men of Respect,$7.95,Crime|Drama|Thriller,Blognation,22/09/2019
671,"Wild One, The",$2.90,Drama,Jaxnation,18/04/2022
672,Sovereign's Company,$9.37,Drama,Thoughtworks,20/05/2014
673,My Left Foot,$4.08,Drama,Fivebridge,30/01/1995
674,"Prisoner of Zenda, The",$1.89,Adventure,Rooxo,24/10/2007
675,Moon Man,$9.15,Animation|Sci-Fi,Livetube,06/01/2021
676,Xingu ,$9.50,Adventure|Drama,Blognation,06/02/2007
677,WarGames,$5.21,Drama|Sci-Fi|Thriller,Kazu,03/09/1993
678,Private,$1.98,Drama|War,Trupe,24/11/2002
679,"Docks of New York, The",$0.88,Crime|Drama,Oyoba,10/03/2007
680,Cousin cousine,$5.74,Comedy|Romance,Eayo,28/08/1998
681,Day of the Dead,$9.60,Horror,Midel,10/03/1994
682,What? (Che?),$9.34,Comedy,Skippad,07/08/2015
683,"Double Hour, The (La doppia ora)",$2.12,Crime|Drama|Mystery|Romance|Thriller,Tazz,10/08/2012
684,Chance,$6.77,Comedy|Drama,Browsecat,15/02/1992
685,"Man from Laramie, The",$1.04,Western,Voonder,24/01/2002
686,"Dead Zone, The",$0.11,Thriller,Centizu,17/10/2004
687,Madame Rosa (La vie devant soi),$0.89,Drama,Plajo,07/04/2018
688,Gunfighter's Moon,$2.83,Romance|Western,Linkbridge,08/05/2010
689,Monsters vs. Aliens,$2.13,Animation|Sci-Fi|IMAX,Twitterwire,19/02/2000
690,The Missing,$6.50,Crime|Drama|Mystery,Thoughtblab,02/12/2004
691,Dinosaurs: A Fun Filled Trip Back in Time,$4.04,Animation|Children,Twimbo,06/01/2021
692,Shining Through,$9.57,Drama|Romance|Thriller|War,Jayo,28/07/2010
